area_sqft,bedrooms,bathrooms,stories,parking_spaces,house_age,distance_city_km,property_type,location_quality,furnishing_status,mainroad,basement,has_garden,price
5335,7,3.0,2,0.0,31,22.3,Townhouse,Medium,Semi-Furnished,Yes,Yes,No,46644485
2065,3,5.0,2,2.0,54,5.1,Townhouse,High,Unfurnished,Yes,No,No,20498452
6220,6,3.0,3,0.0,38,21.8,Villa,High,Semi-Furnished,Yes,Yes,No,54391418
2455,2,2.0,1,1.0,50,34.4,Apartment,Low,Semi-Furnished,No,No,Yes,15366821
3747,2,4.0,2,3.0,10,30.2,Townhouse,Low,Unfurnished,Yes,Yes,No,32368086
3600,6,5.0,1,3.0,11,12.4,House,Medium,Furnished,Yes,Yes,No,36865677
5591,7,3.0,1,3.0,41,5.8,Apartment,Low,Unfurnished,Yes,No,Yes,47209019
3105,7,1.0,3,1.0,17,36.1,House,Premium,Semi-Furnished,Yes,Yes,Yes,30998399
2171,6,2.0,3,2.0,46,34.3,House,High,Unfurnished,Yes,No,Yes,18864421
580,2,5.0,2,0.0,25,3.1,Apartment,Low,Semi-Furnished,Yes,No,No,7780877
2650,7,3.0,2,3.0,11,33.1,House,High,Furnished,Yes,Yes,Yes,29406208
5449,5,5.0,2,0.0,46,4.8,House,Medium,Unfurnished,Yes,No,No,45133935
509,2,3.0,1,2.0,30,3.5,Apartment,Medium,Semi-Furnished,Yes,No,No,5052014
5871,1,,2,2.0,44,30.6,House,Medium,Semi-Furnished,Yes,No,Yes,44210592
3734,7,5.0,1,3.0,24,21.9,House,Low,Furnished,No,No,No,33108777
1298,2,4.0,3,1.0,6,17.2,House,Medium,Unfurnished,Yes,No,Yes,13359632
2278,6,4.0,2,,37,36.3,Townhouse,High,Furnished,Yes,No,No,21869134
3801,1,5.0,1,3.0,6,33.7,Villa,Premium,Semi-Furnished,Yes,No,No,38309504
2359,2,1.0,2,2.0,36,3.2,House,Medium,Semi-Furnished,Yes,No,No,22176303
1106,2,5.0,3,1.0,22,,House,High,Semi-Furnished,No,No,No,11917461
4479,2,2.0,1,1.0,43,31.1,House,Medium,Semi-Furnished,Yes,No,No,34157369
4517,5,5.0,3,1.0,47,22.5,House,Medium,Semi-Furnished,Yes,No,No,38627853
1169,7,1.0,2,1.0,22,39.3,Apartment,Medium,Unfurnished,Yes,Yes,No,10144559
2151,7,3.0,2,1.0,48,27.8,House,Medium,,Yes,No,Yes,18384479
1925,6,4.0,3,1.0,6,,House,Low,Semi-Furnished,No,No,No,19945066
4439,2,1.0,2,1.0,5,8.7,House,Premium,Semi-Furnished,Yes,No,No,41027377
4868,7,1.0,1,0.0,54,33.2,Townhouse,High,Unfurnished,Yes,No,No,37925960
4848,4,5.0,3,3.0,31,39.9,House,Medium,,Yes,Yes,No,39938810
6129,4,1.0,1,0.0,24,4.8,House,High,Semi-Furnished,Yes,No,No,52268873
5100,5,4.0,2,0.0,8,4.9,Apartment,Low,Semi-Furnished,Yes,No,Yes,43967824
2390,6,5.0,3,,15,30.8,Apartment,High,Furnished,Yes,Yes,Yes,23823669
1101,7,4.0,2,3.0,37,3.5,House,Medium,Semi-Furnished,Yes,No,No,14399449
4168,5,3.0,3,1.0,45,3.7,House,Low,Semi-Furnished,No,Yes,Yes,36627546
5991,5,3.0,2,1.0,50,35.7,Apartment,High,Unfurnished,No,No,No,46037865
6349,6,4.0,1,1.0,22,32.2,Apartment,Medium,Furnished,Yes,No,No,51470200
1842,2,,1,0.0,25,35.4,Apartment,Medium,Unfurnished,No,Yes,No,14600790
1880,3,3.0,2,1.0,8,26.4,Villa,Medium,Unfurnished,Yes,No,No,18200688
676,5,1.0,1,0.0,4,13.6,Villa,Low,Unfurnished,No,No,No,8996262
1304,1,4.0,2,3.0,24,36.3,House,Low,Unfurnished,No,Yes,No,12064449
3806,3,4.0,2,0.0,31,12.7,Apartment,Medium,Furnished,Yes,No,No,30336485
3758,6,4.0,3,1.0,5,11.7,Apartment,Medium,Unfurnished,Yes,Yes,No,34620975
2694,7,1.0,1,3.0,22,35.6,Apartment,Low,Unfurnished,Yes,No,No,21594429
2325,4,4.0,3,3.0,35,27.6,House,Medium,Unfurnished,Yes,No,Yes,22370615
5470,3,4.0,2,2.0,44,35.9,Apartment,Medium,Furnished,Yes,Yes,Yes,44327605
3233,4,1.0,2,0.0,51,7.1,Apartment,,Furnished,Yes,No,No,27841195
5339,5,5.0,2,1.0,18,38.1,Townhouse,High,Furnished,Yes,No,No,45463979
6277,4,3.0,1,0.0,21,24.9,House,Medium,Furnished,Yes,Yes,No,52613559
2368,1,3.0,3,2.0,48,27.1,Villa,Medium,Furnished,Yes,No,Yes,21056244
1676,4,4.0,1,1.0,38,36.6,Apartment,Medium,Semi-Furnished,Yes,No,No,11898228
6215,3,3.0,1,2.0,15,15.8,Apartment,Medium,Unfurnished,Yes,Yes,No,50672087
4290,5,3.0,3,2.0,37,29.1,Townhouse,Low,Unfurnished,Yes,No,Yes,34631787
2210,7,2.0,2,3.0,8,26.0,House,Low,Unfurnished,Yes,No,No,20556027
4212,7,5.0,3,1.0,24,31.7,House,High,Semi-Furnished,Yes,Yes,No,39249390
3566,5,5.0,2,3.0,16,36.0,Townhouse,Medium,Unfurnished,Yes,No,Yes,33589899
5928,3,1.0,1,1.0,54,27.5,House,Medium,Unfurnished,Yes,Yes,Yes,45312652
1998,4,4.0,1,2.0,1,3.6,Apartment,Medium,Semi-Furnished,Yes,Yes,No,21164119
6447,2,1.0,2,2.0,47,8.1,House,Medium,Unfurnished,Yes,No,No,50532539
6113,7,2.0,1,3.0,15,38.2,Apartment,High,Unfurnished,Yes,No,No,48671221
1543,6,5.0,3,1.0,1,38.8,Apartment,High,Unfurnished,Yes,Yes,No,18390640
1445,6,1.0,1,3.0,36,38.7,Apartment,Low,Semi-Furnished,Yes,Yes,No,10681665
3675,3,2.0,3,1.0,37,2.4,Townhouse,High,Unfurnished,Yes,No,No,33148489
721,3,2.0,1,1.0,7,,House,Medium,Unfurnished,No,No,Yes,7222511
2257,6,4.0,1,1.0,2,30.6,Apartment,Medium,Unfurnished,Yes,No,Yes,19136529
3082,4,3.0,1,2.0,6,30.4,Apartment,High,Semi-Furnished,Yes,Yes,Yes,27491918
6314,5,3.0,1,2.0,22,4.4,House,High,Unfurnished,Yes,Yes,Yes,57215594
6453,4,,2,0.0,7,24.8,Townhouse,Medium,Unfurnished,Yes,Yes,No,53199461
1366,4,3.0,1,3.0,38,6.6,Apartment,Premium,Furnished,Yes,No,No,18157679
5844,5,4.0,2,3.0,4,20.2,Apartment,High,Furnished,Yes,Yes,No,51659683
1000,6,1.0,2,0.0,43,10.3,Villa,Medium,Unfurnished,Yes,No,No,11349473
4979,3,2.0,1,3.0,48,3.1,Townhouse,Low,Unfurnished,Yes,No,No,39609652
5566,6,5.0,1,2.0,39,4.1,Townhouse,Medium,Unfurnished,No,No,Yes,49593501
5839,2,5.0,1,,51,,Apartment,Medium,Semi-Furnished,Yes,No,No,43862955
1801,3,4.0,1,1.0,51,30.0,Apartment,Medium,Unfurnished,Yes,No,No,13182130
5855,7,2.0,1,,2,37.3,House,Medium,Furnished,Yes,No,No,50017529
1151,7,1.0,1,1.0,18,19.3,Apartment,High,Furnished,Yes,No,Yes,13548223
3589,7,5.0,2,3.0,41,17.1,Townhouse,Medium,Semi-Furnished,Yes,Yes,Yes,35241409
3290,3,4.0,1,1.0,18,15.0,Apartment,High,Unfurnished,Yes,No,No,29934172
2361,6,2.0,1,0.0,40,25.0,House,High,Furnished,No,No,No,21789509
583,7,3.0,2,1.0,42,,Townhouse,High,Semi-Furnished,No,No,Yes,10200785
5120,7,4.0,2,2.0,54,30.1,Townhouse,High,Furnished,Yes,No,No,43300917
2480,1,3.0,1,2.0,18,32.3,House,High,Unfurnished,No,No,Yes,20780659
4453,6,5.0,1,3.0,19,35.2,Townhouse,Low,Semi-Furnished,Yes,Yes,Yes,38384336
2931,7,1.0,2,0.0,1,10.5,Apartment,High,Furnished,Yes,No,Yes,28760788
2710,6,2.0,1,3.0,15,21.6,House,Premium,Furnished,Yes,No,No,29104163
5812,2,1.0,2,2.0,15,9.7,Apartment,Medium,Semi-Furnished,No,Yes,Yes,47324197
1021,6,4.0,3,0.0,24,2.5,Townhouse,Medium,Semi-Furnished,No,No,No,14282360
4906,1,4.0,2,3.0,23,28.6,Townhouse,Premium,Semi-Furnished,Yes,Yes,No,44731694
4968,4,5.0,1,1.0,47,22.4,Apartment,Low,,Yes,No,No,37641020
2748,5,3.0,3,2.0,42,29.2,Apartment,Medium,Furnished,No,Yes,No,22056008
2037,4,1.0,1,2.0,40,4.4,House,Low,Semi-Furnished,Yes,No,No,17187406
482,5,3.0,1,0.0,0,39.8,Apartment,Medium,Unfurnished,No,No,Yes,4584591
6117,2,1.0,1,0.0,25,39.8,Villa,Medium,Unfurnished,No,No,Yes,46565829
6183,5,,3,2.0,40,19.1,Apartment,Medium,Semi-Furnished,Yes,No,No,51512418
1907,5,4.0,3,1.0,13,34.8,Villa,Premium,Furnished,Yes,Yes,Yes,24571181
643,5,5.0,2,0.0,23,10.5,House,Medium,Unfurnished,Yes,No,Yes,12474058
1192,3,2.0,2,,39,29.8,House,Medium,,Yes,No,No,9560189
859,3,2.0,2,3.0,43,35.3,Apartment,High,Furnished,Yes,Yes,Yes,10346514
5478,2,1.0,2,0.0,46,32.8,Townhouse,High,Semi-Furnished,No,Yes,Yes,43816300
5846,4,3.0,2,0.0,23,32.7,House,Medium,Unfurnished,Yes,No,Yes,47162363
1377,5,3.0,3,2.0,21,19.1,House,Low,Unfurnished,No,No,No,14824349
4967,3,4.0,3,0.0,21,33.0,House,Medium,Semi-Furnished,Yes,Yes,Yes,40718025
1534,3,4.0,1,2.0,36,27.9,Townhouse,High,Unfurnished,Yes,Yes,Yes,16215159
2671,3,1.0,2,,23,6.2,Villa,Medium,Semi-Furnished,Yes,Yes,No,25737038
4076,2,2.0,3,2.0,22,5.5,Villa,Medium,Semi-Furnished,No,Yes,No,35854628
4805,5,3.0,2,1.0,9,31.1,House,High,Semi-Furnished,Yes,No,No,40950383
5741,6,2.0,1,3.0,26,25.4,Townhouse,High,Semi-Furnished,Yes,No,No,50151893
720,3,1.0,3,2.0,13,,Apartment,Medium,,Yes,No,No,6876380
1638,7,5.0,2,1.0,28,36.4,House,High,Unfurnished,Yes,No,No,18919964
2147,4,4.0,2,0.0,48,26.7,House,High,Unfurnished,Yes,Yes,Yes,22101944
2327,2,3.0,2,1.0,42,16.4,House,,Unfurnished,Yes,No,Yes,23978817
6488,3,2.0,1,0.0,26,17.1,Townhouse,High,Semi-Furnished,Yes,No,No,54757244
5153,1,5.0,2,0.0,53,24.6,Townhouse,High,,Yes,No,No,43412119
2388,1,1.0,2,1.0,53,30.7,House,,Semi-Furnished,Yes,No,No,16718951
6329,3,3.0,3,0.0,24,23.0,House,Medium,Unfurnished,Yes,No,No,50502895
3470,4,5.0,1,0.0,41,20.8,Townhouse,High,Unfurnished,Yes,No,Yes,31429355
3479,6,5.0,1,1.0,18,29.3,Townhouse,Medium,Unfurnished,Yes,Yes,No,31190956
3073,1,2.0,2,2.0,48,28.5,Villa,Medium,Semi-Furnished,Yes,No,Yes,26015997
1320,6,,3,0.0,20,33.4,Apartment,Low,Semi-Furnished,Yes,No,No,12705964
6102,2,1.0,2,1.0,14,3.4,Apartment,High,Furnished,Yes,No,No,50804964
534,1,1.0,2,0.0,7,30.4,Townhouse,High,Unfurnished,Yes,No,Yes,5806538
1504,5,2.0,3,0.0,46,21.0,Villa,Medium,Semi-Furnished,Yes,Yes,No,16190657
1839,6,5.0,2,0.0,16,3.9,House,Medium,Semi-Furnished,Yes,No,No,20240376
2139,5,4.0,1,1.0,44,27.5,House,,Unfurnished,Yes,Yes,No,17815554
1247,1,3.0,3,2.0,4,28.9,House,Premium,Unfurnished,Yes,No,Yes,16345222
558,1,2.0,2,3.0,27,21.4,House,High,Unfurnished,Yes,No,No,6778871
4549,3,1.0,1,2.0,23,32.0,Villa,Medium,Unfurnished,No,No,Yes,38205438
6314,4,2.0,2,2.0,24,12.7,Apartment,Medium,Furnished,Yes,Yes,Yes,52681833
1187,7,1.0,3,3.0,9,8.9,House,High,,Yes,Yes,Yes,19112105
2244,3,1.0,2,1.0,4,14.7,House,Medium,Semi-Furnished,Yes,No,Yes,21595315
3513,2,4.0,2,3.0,19,17.0,Villa,Premium,Semi-Furnished,No,No,Yes,36836124
6061,7,1.0,2,,25,28.1,Apartment,Low,Semi-Furnished,Yes,No,Yes,48366498
4650,2,1.0,3,2.0,43,34.0,House,Low,Semi-Furnished,Yes,No,No,33011533
5085,1,3.0,3,3.0,25,29.1,Apartment,Medium,Unfurnished,Yes,No,Yes,40495769
3965,3,2.0,1,0.0,13,7.8,Apartment,Medium,Semi-Furnished,No,Yes,Yes,34621270
2973,3,3.0,2,3.0,14,15.3,House,Medium,Unfurnished,No,No,No,27075065
1658,5,1.0,2,2.0,33,7.2,Apartment,High,Unfurnished,No,Yes,Yes,15943843
5679,7,2.0,1,0.0,23,,Townhouse,Low,Unfurnished,Yes,Yes,No,44086318
5314,7,3.0,3,0.0,49,10.7,Townhouse,Medium,Semi-Furnished,Yes,No,No,43958763
601,3,4.0,1,2.0,24,21.5,Apartment,High,,Yes,No,No,9713296
4778,7,3.0,2,1.0,31,31.9,Villa,High,Semi-Furnished,Yes,Yes,No,43569178
960,5,3.0,1,1.0,3,27.2,House,Medium,Unfurnished,No,No,No,9598774
4920,1,3.0,1,1.0,10,12.6,House,Medium,Furnished,Yes,No,No,40147354
5447,7,2.0,3,3.0,46,14.0,Townhouse,Medium,Unfurnished,No,Yes,No,44659610
1242,1,2.0,1,1.0,18,26.5,House,Medium,Furnished,No,No,No,9999304
3074,5,3.0,1,0.0,23,22.4,Apartment,High,Semi-Furnished,No,Yes,No,27900456
1198,6,1.0,3,1.0,32,4.8,Apartment,Medium,Semi-Furnished,Yes,No,No,13276090
3882,2,4.0,3,0.0,3,35.1,House,Medium,Semi-Furnished,Yes,No,Yes,32407788
6061,2,4.0,1,2.0,27,,Townhouse,High,Semi-Furnished,Yes,No,Yes,52142449
939,4,2.0,1,3.0,19,19.5,House,Medium,Semi-Furnished,No,No,No,10581581
2855,7,2.0,3,3.0,8,8.7,House,Low,Unfurnished,Yes,No,No,26173787
6337,2,2.0,3,2.0,23,15.7,Apartment,Medium,Furnished,Yes,No,No,50858263
2270,5,4.0,3,3.0,24,14.0,Townhouse,Premium,Unfurnished,Yes,No,No,26500738
1249,4,4.0,2,1.0,10,11.6,Apartment,High,Semi-Furnished,No,No,No,15307312
3405,1,1.0,1,2.0,29,23.1,House,Medium,Semi-Furnished,Yes,No,Yes,25576013
3525,5,3.0,3,,41,19.0,House,High,Furnished,Yes,No,Yes,32551064
4460,6,1.0,1,2.0,14,35.7,Apartment,Medium,Semi-Furnished,Yes,No,No,35539138
2348,5,3.0,1,2.0,53,37.7,Apartment,Medium,Unfurnished,Yes,No,Yes,18788935
6231,2,2.0,3,0.0,33,9.6,House,Medium,Semi-Furnished,Yes,No,No,49245688
3602,2,2.0,2,2.0,42,4.9,Apartment,Medium,Unfurnished,Yes,No,Yes,28884792
2182,3,3.0,1,2.0,3,31.6,House,Medium,Semi-Furnished,No,No,Yes,19827220
6259,4,2.0,1,1.0,42,39.8,Villa,Premium,Semi-Furnished,No,No,No,52395494
6045,4,2.0,2,2.0,18,34.7,Apartment,Medium,,Yes,Yes,Yes,49156816
3469,2,4.0,1,1.0,39,1.9,House,High,Unfurnished,No,No,Yes,31859777
600,4,5.0,3,1.0,44,10.8,Apartment,High,Unfurnished,Yes,No,No,8013332
4061,3,1.0,2,0.0,13,2.7,Apartment,Medium,Semi-Furnished,Yes,Yes,No,34838268
3808,5,2.0,2,1.0,14,33.0,Villa,Low,Unfurnished,Yes,No,Yes,32449806
1346,6,5.0,2,3.0,3,23.7,Villa,Medium,Unfurnished,No,No,No,17873099
4285,5,3.0,2,3.0,33,21.0,Villa,Low,Unfurnished,Yes,No,No,38542212
5536,1,2.0,2,2.0,42,22.6,Apartment,Medium,Semi-Furnished,Yes,No,Yes,41274181
1090,7,3.0,3,2.0,22,10.8,House,Premium,Unfurnished,Yes,No,No,16992479
4826,1,1.0,2,2.0,8,24.5,House,High,Semi-Furnished,Yes,No,No,38956919
1299,7,1.0,2,1.0,17,2.2,Townhouse,Low,Furnished,Yes,No,Yes,16387161
4980,1,4.0,2,1.0,22,26.2,House,Medium,Semi-Furnished,Yes,No,No,41098410
2985,4,3.0,1,2.0,50,29.6,Townhouse,Low,Unfurnished,Yes,No,No,22656690
489,1,4.0,3,3.0,6,27.2,Apartment,Premium,Unfurnished,Yes,No,Yes,10575356
6295,1,2.0,2,1.0,18,14.0,House,Medium,Unfurnished,No,No,No,50681562
1454,5,5.0,3,2.0,35,33.2,Villa,Medium,Semi-Furnished,Yes,No,Yes,17673852
4056,6,,3,1.0,13,28.9,House,Medium,Semi-Furnished,Yes,No,Yes,36531709
1547,1,4.0,3,1.0,48,6.0,House,Medium,Unfurnished,No,No,No,14384932
6094,7,,3,1.0,50,8.6,House,Medium,Unfurnished,Yes,No,No,46268784
4916,3,1.0,3,0.0,20,25.8,Townhouse,High,Unfurnished,Yes,No,Yes,40951598
5316,3,4.0,2,1.0,41,12.3,Apartment,Low,Unfurnished,No,Yes,Yes,41500833
3064,3,5.0,3,2.0,41,5.7,Townhouse,Low,Furnished,Yes,Yes,No,28336515
3277,4,5.0,1,2.0,37,7.0,House,Low,Unfurnished,Yes,No,No,29823327
4287,2,2.0,3,3.0,10,7.5,House,Medium,Unfurnished,No,No,No,36221375
5197,3,1.0,1,0.0,2,19.6,House,Premium,Unfurnished,Yes,No,Yes,47624511
5574,2,5.0,3,3.0,19,24.7,Apartment,Medium,Unfurnished,Yes,Yes,Yes,45560980
557,1,4.0,1,3.0,7,7.9,Townhouse,High,Unfurnished,Yes,No,No,9753396
4464,3,,2,1.0,16,28.8,Townhouse,Medium,Semi-Furnished,Yes,No,Yes,37744516
1110,5,4.0,1,1.0,35,12.0,Townhouse,High,Unfurnished,Yes,Yes,No,14048766
2191,6,5.0,1,1.0,32,13.2,Townhouse,Premium,,Yes,No,No,25190195
5468,3,2.0,3,2.0,11,9.7,House,Medium,Semi-Furnished,Yes,Yes,No,46852224
1965,3,4.0,3,3.0,0,31.6,House,Premium,Semi-Furnished,Yes,No,No,23043681
5270,6,4.0,1,2.0,12,38.4,Villa,Medium,Unfurnished,Yes,No,Yes,45696188
3251,5,3.0,1,2.0,25,20.2,Apartment,High,Furnished,Yes,Yes,No,30240144
1857,6,4.0,3,2.0,42,2.6,Villa,Medium,Unfurnished,Yes,No,Yes,22789674
2472,7,2.0,3,0.0,20,11.2,House,High,Furnished,Yes,No,Yes,28086180
3661,6,5.0,1,2.0,15,7.2,House,Medium,Furnished,No,Yes,No,35297339
5079,7,5.0,2,0.0,30,33.9,House,Premium,Semi-Furnished,Yes,Yes,No,45925626
4116,3,5.0,1,3.0,3,4.3,House,High,Unfurnished,Yes,No,Yes,39676885
6096,3,,3,3.0,12,38.7,Apartment,Medium,Furnished,Yes,Yes,No,51321905
5699,3,1.0,2,2.0,2,24.0,House,Premium,Semi-Furnished,Yes,No,Yes,51299692
5007,2,2.0,1,1.0,28,21.2,House,High,Unfurnished,Yes,No,No,38674070
4098,6,3.0,1,2.0,24,34.0,Apartment,Medium,Semi-Furnished,Yes,Yes,No,31777991
2203,6,5.0,2,2.0,32,2.1,Apartment,,Semi-Furnished,Yes,No,Yes,21802248
2946,6,3.0,3,2.0,33,31.3,House,Low,,Yes,Yes,No,26117231
1169,2,3.0,1,2.0,21,5.5,Apartment,Low,Semi-Furnished,No,No,No,10889777
2713,4,1.0,3,0.0,47,33.8,Villa,Low,Furnished,No,No,No,22117101
6055,2,4.0,2,0.0,50,21.6,Apartment,Premium,Semi-Furnished,Yes,No,Yes,50358101
3026,7,2.0,3,1.0,6,3.4,House,Medium,Semi-Furnished,Yes,No,Yes,31880277
1138,2,1.0,3,2.0,50,33.5,Apartment,High,Semi-Furnished,No,Yes,No,9291200
4394,2,5.0,1,1.0,10,2.1,House,Medium,Furnished,No,No,No,39554719
6273,4,1.0,1,2.0,13,6.4,House,Medium,Furnished,Yes,No,No,53401605
5698,7,1.0,3,1.0,29,32.1,House,Medium,Furnished,Yes,No,Yes,45333284
2108,7,1.0,1,3.0,1,19.1,House,Medium,Semi-Furnished,Yes,No,No,20927733
3196,1,3.0,1,1.0,20,35.4,House,Medium,Semi-Furnished,Yes,No,No,25090361
3662,3,1.0,2,3.0,10,25.8,Apartment,Medium,Unfurnished,Yes,No,No,29642033
1949,2,,3,1.0,26,25.3,House,Medium,Furnished,Yes,No,No,17253251
2075,3,,3,1.0,44,12.4,House,High,Unfurnished,Yes,No,Yes,20069634
1881,4,2.0,2,2.0,50,6.2,House,,Unfurnished,No,No,No,15707015
6467,2,1.0,1,1.0,11,38.5,House,Medium,Semi-Furnished,Yes,No,No,49759146
4963,1,3.0,2,0.0,29,5.1,Villa,Medium,Semi-Furnished,No,No,No,43483817
5537,4,1.0,3,1.0,26,21.6,House,Medium,Semi-Furnished,No,No,No,44532555
5390,1,5.0,1,3.0,22,11.6,Apartment,High,Unfurnished,No,No,No,45033239
6252,2,2.0,2,0.0,34,11.3,Apartment,Low,Unfurnished,No,No,No,47521176
1086,1,3.0,1,1.0,54,24.2,Apartment,Premium,Unfurnished,Yes,No,No,9805373
5783,1,1.0,1,2.0,22,32.1,House,High,Unfurnished,Yes,Yes,No,45749397
852,4,1.0,1,2.0,3,31.3,Villa,Medium,Unfurnished,Yes,No,No,11141022
3326,6,2.0,3,1.0,50,34.9,Villa,Medium,Semi-Furnished,Yes,Yes,Yes,29531329
4046,6,1.0,3,0.0,51,12.4,House,Low,Unfurnished,Yes,No,No,31865391
2615,1,4.0,1,0.0,17,19.2,Apartment,Premium,Unfurnished,No,No,No,25081178
1334,1,5.0,3,1.0,27,1.4,Villa,Medium,Unfurnished,Yes,Yes,Yes,19062348
1613,3,5.0,2,3.0,47,30.1,Apartment,Low,Semi-Furnished,Yes,No,No,13975425
5439,5,2.0,3,0.0,27,12.8,House,Medium,Furnished,Yes,No,No,47672003
2378,6,4.0,3,3.0,26,22.9,Villa,Low,Unfurnished,Yes,No,Yes,25437935
2327,6,3.0,1,2.0,50,7.6,House,Medium,Unfurnished,No,No,No,19848037
6036,3,,3,0.0,45,33.0,Apartment,Medium,Semi-Furnished,Yes,No,Yes,45559241
1320,2,1.0,2,,27,32.9,Apartment,Low,Unfurnished,Yes,Yes,No,9044437
5987,1,,1,0.0,8,35.2,House,High,Furnished,Yes,No,Yes,50123360
6021,2,3.0,1,3.0,24,2.8,Apartment,Medium,Furnished,No,No,Yes,51581115
4071,1,1.0,3,2.0,37,39.7,House,Medium,Semi-Furnished,Yes,No,No,28428400
1451,7,5.0,2,1.0,14,10.7,House,Medium,Furnished,Yes,No,No,19985554
1392,2,4.0,2,1.0,29,13.1,Apartment,Premium,Semi-Furnished,Yes,Yes,Yes,19772075
2172,6,3.0,1,2.0,36,10.7,Apartment,Medium,Semi-Furnished,Yes,No,No,20219964
3943,4,5.0,3,0.0,4,11.4,Villa,,Unfurnished,No,Yes,No,42318722
1379,4,5.0,1,1.0,31,22.6,House,Medium,Unfurnished,Yes,No,Yes,13973920
3206,4,5.0,1,0.0,40,10.4,House,High,Unfurnished,No,No,Yes,29463292
1148,6,2.0,2,2.0,11,16.4,House,Medium,Semi-Furnished,No,No,Yes,14572957
3718,1,5.0,3,2.0,30,26.6,Apartment,High,Semi-Furnished,Yes,Yes,Yes,33799997
577,1,3.0,1,1.0,39,33.6,House,Low,Unfurnished,Yes,No,Yes,4303839
4739,3,4.0,1,0.0,2,28.0,House,Premium,Semi-Furnished,Yes,No,Yes,44386402
785,3,5.0,2,1.0,35,24.2,House,Premium,Unfurnished,No,Yes,Yes,13745551
1628,4,1.0,1,3.0,14,6.8,Villa,Medium,Unfurnished,No,No,Yes,19296784
1506,6,,2,0.0,21,32.8,Townhouse,Medium,Unfurnished,Yes,No,No,13035686
5477,5,1.0,1,0.0,35,2.5,Villa,Medium,Semi-Furnished,Yes,Yes,No,48046741
772,2,2.0,1,0.0,0,11.3,House,Medium,Semi-Furnished,No,No,No,10826428
3047,3,3.0,1,3.0,0,3.2,House,High,Semi-Furnished,Yes,No,No,30869236
4026,6,5.0,3,0.0,24,27.0,House,High,Unfurnished,No,No,Yes,37814132
3571,2,5.0,3,2.0,52,15.4,Apartment,Medium,Semi-Furnished,Yes,Yes,Yes,29847034
4568,4,2.0,2,3.0,0,26.4,Villa,Low,Furnished,Yes,No,No,40842014
5308,4,2.0,2,2.0,43,14.5,Villa,Premium,Unfurnished,Yes,Yes,No,47860258
2831,6,3.0,3,1.0,4,18.8,Apartment,Low,Semi-Furnished,Yes,Yes,No,27492899
5460,6,5.0,1,0.0,26,18.9,Townhouse,Medium,Unfurnished,Yes,No,No,47294929
2373,4,5.0,2,0.0,23,2.8,Villa,Low,Unfurnished,Yes,No,Yes,25483523
6405,3,2.0,3,0.0,25,17.8,House,Low,Semi-Furnished,Yes,Yes,No,52250955
3502,3,1.0,3,3.0,4,26.0,Townhouse,Low,Unfurnished,Yes,No,No,30542764
4902,3,4.0,1,0.0,41,22.3,Apartment,Medium,Semi-Furnished,Yes,No,No,37955073
5743,2,2.0,3,0.0,15,3.9,Apartment,Medium,Furnished,Yes,No,No,47613076
5245,5,1.0,2,3.0,42,27.1,Apartment,Medium,Unfurnished,Yes,Yes,No,41053754
5599,2,1.0,3,1.0,36,13.0,House,High,Unfurnished,No,No,Yes,44837116
3695,5,3.0,1,1.0,30,1.6,House,High,Furnished,No,No,Yes,35339088
713,6,2.0,2,2.0,16,,Townhouse,Low,Semi-Furnished,No,No,Yes,12740808
3433,7,3.0,3,2.0,35,20.4,Apartment,Low,Furnished,Yes,No,No,28882788
1548,1,2.0,1,3.0,54,13.1,Apartment,Medium,Unfurnished,No,Yes,No,12000744
5829,6,4.0,3,1.0,50,28.1,House,High,Semi-Furnished,Yes,No,Yes,49582324
1882,1,,1,2.0,50,10.4,Apartment,Medium,Furnished,Yes,Yes,Yes,17327811
1829,3,3.0,3,,12,31.1,House,Medium,Unfurnished,No,Yes,No,17281390
1958,2,1.0,2,1.0,32,12.2,House,High,Furnished,Yes,No,Yes,21055158
4337,2,3.0,1,1.0,21,25.2,Townhouse,Low,Semi-Furnished,Yes,Yes,No,35653437
3905,2,4.0,1,3.0,53,32.2,House,Medium,Furnished,Yes,Yes,No,31961837
6190,1,2.0,3,0.0,52,16.0,Apartment,Low,Unfurnished,Yes,Yes,Yes,48180776
2968,6,2.0,1,0.0,47,2.8,Apartment,High,Semi-Furnished,No,Yes,Yes,26966331
2157,1,3.0,2,2.0,8,21.9,Apartment,Medium,Unfurnished,Yes,No,Yes,18144477
747,3,2.0,1,3.0,17,39.8,Townhouse,High,Furnished,Yes,Yes,No,11463713
492,5,3.0,3,0.0,39,38.8,House,Low,Unfurnished,No,No,No,3198070
2710,7,2.0,2,3.0,41,9.6,House,Medium,Unfurnished,No,Yes,Yes,26186241
6051,6,2.0,3,3.0,19,30.5,Apartment,Low,Furnished,Yes,No,Yes,48726004
3618,1,4.0,1,3.0,7,14.5,Townhouse,High,Unfurnished,Yes,No,No,33714974
5855,7,3.0,1,1.0,7,7.3,Apartment,Low,Semi-Furnished,Yes,Yes,No,48873260
1065,5,3.0,2,1.0,37,27.0,House,,Unfurnished,Yes,No,No,9132366
1014,2,4.0,2,2.0,24,20.5,Villa,High,Semi-Furnished,Yes,No,No,14077769
5492,4,2.0,3,0.0,27,22.0,Apartment,Low,,Yes,Yes,Yes,42705311
